"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_通称","名称_英語","文化財分類","種類","場所名称","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","緯度","経度","高度の種別","高度の値","電話番号","内線番号","連絡先メールアドレス","連絡先FormURL","連絡先備考（その他、SNSなど）","郵便番号","員数（数）","員数（単位）","法人番号","所有者等","文化財指定日","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","画像","画像_ライセンス","概要","概要_英語","説明","説明_英語","URL","備考"
"132152","132152100048","国立市","十一面観音立像","ジュウイチメンカンノンリュウゾウ","","","国立市登録有形文化財","工芸品","谷保天満宮","132152","","東京都国立市谷保5209","東京都","国立市","谷保","5209","","35.679363","139.44395","","","","","","","","1860011","","","5012405000412","宗教法人谷保天満宮","2000-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1569811892231.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100049","国立市","獅子頭","シシガシラ","","","国立市登録有形文化財","工芸品","谷保天満宮","132152","","東京都国立市谷保5209","東京都","国立市","谷保","5209","","35.679363","139.44395","","","","","","","","1860011","","","5012405000412","宗教法人谷保天満宮","2000-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1463551216086.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100050","国立市","龍頭木型","リュウズキガタ","","","国立市登録有形文化財","彫刻","くにたち郷土文化館","132152","","東京都国立市谷保6231","東京都","国立市","谷保","6231","","35.679006","139.432637","","","","","","","","1860011","","","","個人","2002-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1463551216086.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100051","国立市","本田家鞍","ホンダケクラ","","","国立市登録有形文化財","工芸品","非公開","132152","","東京都国立市非公開","東京都","国立市","","非公開","","","","","","","","","","","","","","1000020132152","国立市","2001-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1463551216086.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100052","国立市","佐藤家甲冑","サトウケカッチュウ","","","国立市登録有形文化財","工芸品","非公開","132152","","東京都国立市非公開","東京都","国立市","","非公開","","","","","","","","","","","","","","","個人","2001-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1463551216086.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100053","国立市","鏧子","キンス","","","国立市登録有形文化財","工芸品","非公開","132152","","東京都国立市非公開","東京都","国立市","","非公開","","","","","","","","","","","","","","","滝之院墓地管理組合","2004-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1463551216086.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100054","国立市","谷保天満宮扁額（元禄三年在銘）","ヤボテンマングウヘンガク（ゲンロクサンネンザイメイ）","","","国立市登録有形文化財","工芸品","非公開","132152","","東京都国立市非公開","東京都","国立市","","非公開","","","","","","","","","","","","","","5012405000412","宗教法人谷保天満宮","2006-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1463551216086.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100055","国立市","谷保天満宮扁額（明和三年在銘）","ヤボテンマングウヘンガク（メイワサンネンザイメイ）","","","国立市登録有形文化財","工芸品","非公開","132152","","東京都国立市非公開","東京都","国立市","","非公開","","","","","","","","","","","","","","5012405000412","宗教法人谷保天満宮","2006-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1463551216086.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100056","国立市","谷保天満宮扁額（安政二年在銘）","ヤボテンマングウヘンガク（アンセイニネンザイメイ）","","","国立市登録有形文化財","工芸品","非公開","132152","","東京都国立市非公開","東京都","国立市","","非公開","","","","","","","","","","","","","","5012405000412","宗教法人谷保天満宮","2006-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1463551216086.html","公開状況については、国立市ホームページをご確認ください。"
"132152","132152100057","国立市","谷保天満宮扁額（天明元年在銘）","ヤボテンマングウヘンガク（テンメイガンネンザイメイ）","","","国立市登録有形文化財","工芸品","非公開","132152","","東京都国立市非公開","東京都","国立市","","非公開","","","","","","","","","","","","","","5012405000412","宗教法人谷保天満宮","2006-04-01","","","","","","","","","","","http://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div03/Sec01/gyomu/0061/0062/0067/0071/1463551216086.html","公開状況については、国立市ホームページをご確認ください。"
